,customer_state,product_id,product_category_name,product_name_lenght,product_description_lenght,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_state,payment_type,payment_sequential,payment_installments,installments_price,price,freight_value,payment_value,default
24332,RJ,6490b9f63b0b595e1c1402b46b0f50ad,telefonia,24.0,820.0,300.0,18.0,10.0,13.0,SP,credit_card,1,10,29.7,279.9,16.71,296.61,0
93726,MG,1dec4c88c685d5a07bf01dcb0f8bf9f8,automotivo,44.0,982.0,17600.0,49.0,49.0,23.0,SC,credit_card,1,10,64.3,589.0,54.19,643.19,0
58219,PE,c0315bd17c58be3dec2bd04dd4233b7e,perfumaria,59.0,827.0,500.0,20.0,13.0,20.0,SP,credit_card,1,10,20.7,179.99,26.54,206.53,0
22108,SP,163da86e86f0089de089399c28c3fcbb,informatica_acessorios,60.0,407.0,400.0,16.0,3.0,21.0,SP,credit_card,1,1,108.0,99.0,8.89,107.89,0
17904,ES,ee406bf28024d97771c4b1e8b7e8e219,cool_stuff,54.0,629.0,1050.0,36.0,24.0,22.0,SP,credit_card,1,7,23.142857142857142,144.99,17.26,162.25,0
2720,RN,83039266ceedb3640c6dce70f01bf2d0,fashion_bolsas_e_acessorios,58.0,84.0,200.0,20.0,20.0,20.0,SP,credit_card,1,8,16.375,80.0,51.28,131.28,0
9027,MG,23b3e6e0aafa806f323de78534212b67,construcao_ferramentas_jardim,34.0,1007.0,5650.0,40.0,16.0,50.0,SP,credit_card,1,12,19.08333333333333,121.9,43.01,229.24,0
37710,BA,2cd21984c5d25eacc22b5b6d9e6396e3,relogios_presentes,47.0,481.0,283.0,17.0,10.0,12.0,SP,credit_card,1,8,29.625,219.0,17.97,236.97,0
48162,RJ,7cb5b984262835ef46a1ed83d04d0d44,bebidas,51.0,824.0,850.0,16.0,13.0,15.0,SP,credit_card,1,2,30.0,45.0,15.1,60.1,0
20424,GO,66b5f91356d928ae807ab4ee547f5e3e,pet_shop,47.0,115.0,500.0,20.0,20.0,20.0,SP,credit_card,1,1,58.0,42.99,15.1,58.09,0
